Country,Youth_Policy,Ratification of the African youth charter,2018_Population,Population2018,2018_Percent_Youth,2063_Population,Population2063,2063_Percent_Youth,Youth_Unemployment_2013,Youth_Unemployment_2014,Youth_Unemployment_2015,Youth_Unemployment_2016,Youth_Unemployment_2017,myID,id
Algeria,No,NO,14.238474,14.238474,34,15.490356,15.490356,25,25.06,25.78,29.9,24.26,24.3,1,1
Angola,No,YES,10.35543,10.35543,34,35.794601,35.794601,36,17,16.95,16.91,18.03,19.09,2,2
Benin,Yes,YES,4.031471,4.031471,35,10.340023,10.340023,35,5.41,5.41,5.4,5.28,5.19,3,3
Botswana,Yes,NO,0.89554,0.89554,38,1.032434,1.032434,28,35.51,35.23,35,35.27,35.7,4,4
Burkina Faso,Yes,YES,6.927541,6.927541,35,19.286469,19.286469,35,8,8.56,8.56,8.55,8.56,5,5
Burundi,Yes,NO,3.935121,3.935121,35,11.762889,11.762889,35,2.74,2.92,2.91,2.96,2.9,6,6
Cameroon,Yes,YES,8.887257,8.887257,36,21.070662,21.070662,34,8.36,9.05,9.05,9.02,8.94,7,7
Cape Verde,Yes,YES,0.223255,0.223255,40,0.198488,0.198488,26,17.78,17.8,17.83,17.95,17.8,8,8
Central African Republic,Draft,NO,1.686389,1.686389,36,3.69421,3.69421,35,11.27,11.41,11.46,11.03,10.61,9,9
Chad,No,YES,5.373986,5.373986,35,15.17298,15.17298,36,1.13849,1.13891,1.13936,1.13981,1.14026,10,10
Comoros,No,NO,0.303309,0.303309,36,0.573122,0.573122,34,9.93,9.91,9.89,9.92,9.95,11,11
Democratic Republic of Congo,Yes,NO,27.863481,27.863481,33,90.596252,90.596252,36,7.3,7.31,7.29,7.29,7.31,12,12
Djibouti,Unclear,YES,0.382564,0.382564,39,0.387572,0.387572,29,11.47,11.49,11.5,11.62,11.7,13,13
Egypt,Unclear,YES,34.227784,34.227784,34,51.981373,51.981373,30,0,0,0,0,0,14,14
Equatorial Guinea,No,NO,0.530685,0.530685,40,1.182002,1.182002,34,11.28,11.32,11.23,12.73,14.16,15,15
Eritrea,No,NO,1.897037,1.897037,37,3.778154,3.778154,33,11.43,11.45,11.45,11.36,11.25,16,16
Ethiopia,Yes,YES,40.597304,40.597304,38,69.445455,69.445455,32,7.06,7.07,7.07,7.27,7.43,17,17
Gabon,Yes,YES,0.739626,0.739626,36,1.269271,1.269271,31,36,35.97,35.98,35.87,35.89,18,18
Gambia,Yes,YES,0.761107,0.761107,35,1.985613,1.985613,36,12.87,12.8,12.86,12.88,12.89,19,19
Ghana,Yes,YES,10.611803,10.611803,36,19.852799,19.852799,33,4.56,4.51,4.51,4.72,4.9,20,20
Guinea,Unclear,YES,4.610075,4.610075,35,11.448724,11.448724,34,5.55,5.55,5.54,5.54,5.53,21,21
Guinea Bissau,No,YES,0.690924,0.690924,36,1.474011,1.474011,34,11.45,11.42,11.47,11.54,11.6,22,22
Ivory Coast,Draft,YES,8.833957,8.833957,35,22.928786,22.928786,35,4.03,3.92,3.8,3.71,3.7,23,23
Kenya,Yes,YES,19.051135,19.051135,37,36.605908,36.605908,33,26.12,26.15,26.2,26.25,26.21,24,24
Lesotho,Unclear,YES,0.926018,0.926018,41,1.144409,1.144409,32,34.53,34.88,37.97,38.96,38.53,25,25
Liberia,Yes,NO,1.705083,1.705083,35,4.139965,4.139965,34,3.25,3.22,3.22,3.25,3.27,26,26
Libya,No,YES,2.3041,2.3041,36,2.051743,2.051743,25,44.85,44.61,44.57,45.71,45.95,27,27
Madagascar,Yes,NO,9.496657,9.496657,36,22.473186,22.473186,34,1.5,1.99,3.02,3.02,3.02,28,28
Malawi,Yes,YES,7.091242,7.091242,37,17.736166,17.736166,34,7.83,7.84,7.79,7.78,7.82,29,29
Mali,No,YES,6.377122,6.377122,33,20.419784,20.419784,37,11.09,8.06,18.19,18.08,17.96,30,30
Mauritania,Unclear,YES,1.61039,1.61039,35,3.697561,3.697561,34,18,17.99,17.81,17.84,17.93,31,31
Mauritius,Yes,YES,0.394353,0.394353,31,0.251907,0.251907,22,23.51,24.44,25.92,23.57,24.45,32,32
Mayotte,NA,Unclear,0,0,0,0,0,0,0,0,0,0,0,33,33
Morocco,Yes,NO,12.367968,12.367968,34,11.528903,11.528903,25,19.05,19.94,20.7,18.62,17.96,34,34
Mozambique,Yes,YES,10.605023,10.605023,35,30.545743,30.545743,35,39.75,43.2,43.17,42.95,42.66,35,35
Namibia,Yes,YES,0.9919,0.9919,38,1.577588,1.577588,32,40.82,38.66,40.11,45.19,45.53,36,36
Niger,Yes,YES,6.906638,6.906638,31,36.027645,36.027645,37,0.52,0.54,0.5,0.52,0.53,37,37
Nigeria,Yes,YES,66.777309,66.777309,34,184.806996,184.806996,36,9.77,8.52,8.05,13.06,13.41,38,38
Congo,No,YES,1.792673,1.792673,33,5.030903,5.030903,34,20.73,20.83,20.72,21.52,22.46,39,39
Reunion,NA,Unclear,0,0,0,0,0,0,0,0,0,0,0,40,40
Rwanda,Yes,YES,4.617618,4.617618,37,8.021323,8.021323,32,3.07,1.89,1.89,2,2.1,41,41
Saint Helena,NA,Unclear,0,0,0,0,0,0,0,0,0,0,0,42,42
Sao Tome and Principe,No,NO,0.073677,0.073677,35,0.153123,0.153123,34,20.52,20.51,20.5,20.51,20.6,43,43
Senegal,Yes,YES,5.77193,5.77193,35,14.475544,14.475544,34,9.02,7.26,5.3,5.39,5.47,44,44
Seychelles,No,YES,0.026961,0.026961,28,0.023189,0.023189,25,0,0,0,0,0,45,45
Sierra Leone,Yes,NO,2.799362,2.799362,36,5.039247,5.039247,34,9.28,9.51,9.39,9.34,9.04,46,46
Somalia,No,NO,5.178056,5.178056,34,16.992163,16.992163,36,0,0,0,0,0,47,47
South Africa,Yes,YES,21.337299,21.337299,37,22.017968,22.017968,29,51.43,51.3,50.14,53.36,53.53,48,48
South Sudan,Unclear,NO,4.644256,4.644256,36,10.660167,10.660167,35,20.4,18.61,18.23,17.44,17.61,49,49
Sudan,No,NO,14.764277,14.764277,36,33.185385,33.185385,34,27.32,27.26,27.29,27.27,27.28,50,50
Eswatini,Yes,YES,0.576496,0.576496,41,0.730959,0.730959,32,53.42,53.49,53.5,54.14,54.78,51,51
Tanzania,Yes,YES,20.317294,20.317294,34,62.813607,62.813607,35,5.82,3.7,3.7,3.81,3.9,52,52
Togo,Yes,YES,2.824605,2.824605,35,6.356775,6.356775,35,2.78,2.78,2.78,2.78,2.79,53,53
Tunisia,No,YES,3.811754,3.811754,33,3.380478,3.380478,24,34.53,34.77,35.43,36.35,36.33,54,54
Uganda,Yes,YES,15.597094,15.597094,35,48.785525,48.785525,36,2.7,2.7,2.71,2.82,2.91,55,55
Sahrawi Republic,NA,NO,0,0,0,0,0,0,0,0,0,0,0,56,56
Zambia,Yes,YES,6.391495,6.391495,36,18.731999,18.731999,35,15.27,15.27,15.23,15.31,15.35,57,57
Zimbabwe,Yes,YES,6.441994,6.441994,38,11.203077,11.203077,33,8.32,8.25,8.21,8.19,8.19,58,58
