COUNTRY,ISO3,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Food Security,GBV,Vulnerable Groups,VULNERABILITY (Hazard-independent),Movements,Behaviour,Demographic and co-morbidity,COVID-19 VULNERABILITY,VULNERABILITY,Governance,Institutional,Access to health care,physical Infrastructure,LACK OF COPING CAPACITY (Hazard-independent),COVID-19 LACK OF COPING CAPACITY,LACK OF COPING CAPACITY,INFORM COVID-19 RISK,COVID-19 RISK CLASS,Rank,Human,Children U5,Sanitation,Drinking water,Hygiene,WaSH,Population density,Urban population growth,Population living in urban areas,Population living in slums (% of urban population),Household size,Population,P2P,Covid-19 Hazard & Exposure,Corruption Perception Index,Government Effectiveness,Governance,INFORM Institutional,Physicians Density,Hospital bed,Health system capacity,Coverage of DTP3 vaccine,Coverage of measles-containing vaccine,Coverage of pneumococcal conjugate vaccine,Immunization coverage,Per capita public and private expenditure on health care,Maternal Mortality Ratio,Access to health care Index,INFORM Infrastructure,IHR,Operational readiness index,Health capacity specific to Covid-19,Covid-19 Lack of coping capacity,Infrastructure,Human Development Index,Multidimensional Poverty Index,Gender Inequality Index,Gini Index,Inequality,Total public Aid (M US$),Public Aid per capita (US$),Public Aid per capita (US$),Net ODA received (% of GNI),Volume of remittances,Economic Dependency Index,INFORM Socio-Economic Vulnerability,"Total Uprooted people (1,000 people)",Uprooted people (total population),Total/Pop,Total Uprooted people (percentage of the total population),Uprooted people,Estimated number of people living with HIV - Adult (>15) rate,"Number of new HIV infections per 1,000 uninfected population",HIV,Incidence of Tuberculosis,"Malaria incidence per 1,000 population at risk",People requiring interventions against neglected tropical diseases (% of total population),People requiring interventions against neglected tropical diseases,Health Conditions,Food Availability Score,Food Utilization Score,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence,Attitudes towards violence,GBV,INFORM Vulnerable Groups,International tourism(number of arrivals),International tourism(number of arrivals),Air transport(passengers carried),Point of entry,International movements,Access to Cities,Road density,Road density,Internal movements,Movements,Adult literacy rate,Mobile cellular subscriptions,Internet users,Awareness,Trust,Demographic and Co-morbidities,Covid-19 Vulnerability
Finland,FIN,2.3,0,0.6,0.1,0.2,4.7,0.1,1.2,1.45,2,1.1,7.5,2.4,9.2,7.1,4.8,1.2,1.2,1.1,1.1,1.2,0.3,0.8,2.1,Low,183,0,4.9,0.1,0,,0.1,4.2,0.5,8.5,,0.2,3.4,2.3,2.3,1.4,1,1.2,1.2,0.5,4.6,2.55,1.7,1.2,2.4,1.766666667,0,0,1.1,1.1,0.6,0,0.3,0.3,1.1,0,,0.7,0.5,0.6,-12.87001,-2.326399151,0,,0.1,0.1,0.2,25.585,4.7,0.004624777,4.7,4.7,,,,0.1,,9.04E-07,0,0.1,2.3,0,1.6,1.3,1.45,2,7.8,6.3,7.8,10,8,5.5,85.55727401,8.5,7,7.5,,3.6,2,2.8,2,9.2,7.1
France,FRA,2.8,0.2,1.3,0.2,0.5,7.1,0.3,0.8,0.8,2.9,1.8,7.5,5.3,7.6,7,4.9,2.6,2.6,0.9,0.9,1.8,2.15,2,3,Low,161,0.2,5.634,0.1,0,,0.1,7,1,8,,0.7,4.2,2.8,2.8,3.1,2,2.6,2.6,1.9,1.9,1.9,0.5,3.2,1.2,1.633333333,0,0.1,0.9,0.9,1.8,2.5,2.15,2.15,0.9,0.2,,0.7,1.9,1.3,0,0,0,,0.3,0.2,0.5,457.426,8.9,0.007023306,5.2,7.1,0.8,0.6,0.7,0.1,,4.93E-06,0,0.3,1.6,0,,0.8,0.8,2.9,9.6,9.8,9.6,4,7.8,4.2,255.633057,10,7.1,7.5,,4.7,5.2,5,5.6,7.6,7
Gabon,GAB,5,5.5,5.2,0.8,4.3,1.3,6.3,2.8,6.55,4.6,4.5,1.7,5.8,1.6,2.7,3.7,6.8,6.8,6,6,6.4,6.75,6.6,5,High,56,4,14.559,5.8,2.4,,4.1,3.1,6.1,8.9,4.1,5.2,5.5,5,5,6.9,6.6,6.8,6.8,9.1,8.5,8.8,4.1,,,4.1,8.3,2.8,6,6,6,7.5,6.75,6.75,6,4,6.7,7.1,3.3,5.2,196.15,90.28444548,1.8,0.5,0,0.8,4.3,0.774,0,0.000356259,2.5,1.3,7.2,8.4,7.8,9.6,4.2,0.319490946,3.5,6.3,3.7,1.8,6.9,6.2,6.55,4.6,,,,0,0,6.5,1.746419839,0.1,3.3,1.7,3.1,3.2,8.2,4.8,6.7,1.6,2.7
Gambia,GMB,6.9,8.9,5.5,5,7.1,2.9,2.3,2.9,4.3,3.1,5.4,3.4,5.1,0,2.1,3.9,6.3,6.3,7.1,7.1,6.7,7,6.9,5.7,High,31,8.7,17.091,6.8,3.7,9.2,6.6,7.8,8.1,6.1,2.9,10,7,6.9,6.9,6.3,6.2,6.3,6.3,9.7,8.7,9.2,1.2,5.3,1.5,2.666666667,9.9,6.6,7.1,7.1,6.5,7.5,7,7,7.1,8.7,9.1,8.3,2.7,5.5,130.99007,55.79515832,1.1,9.7,4.2,5,7.1,4.382,2.1,0.001866511,3.7,2.9,3.4,3.9,3.65,3.2,1.4,0.068476924,0.8,2.3,4.1,1.7,1.4,7.2,4.3,3.1,1.8,3,1.8,2,2.3,4.6,41.50197628,4.1,4.4,3.4,8.2,3.1,4,5.1,5.1,0,2.1
Georgia,GEO,3.1,2.3,4,3,2.9,8.7,1,2.8,1,4.4,3.7,6.1,4.3,8,6.6,5.3,4.1,4.1,3.3,3.3,3.7,4.2,4,4,Medium,98,2.3,6.857,1.1,0.3,,0.7,6,1.5,5.9,3.8,,4.3,3.1,3.1,4.4,3.8,4.1,4.1,0,6.9,3.45,1.4,1.5,3.2,2.033333333,7.5,0.3,3.3,3.3,3.4,5,4.2,4.2,3.3,2.3,,4.7,3.2,4,548.39,137.2085703,2.7,2.3,3.9,3,2.9,295.677,8.2,0.073979136,9.2,8.7,1,1.3,1.15,1.6,0,0.103161009,1.1,1,4.5,1,,1,1,4.4,4.3,7,4.3,4,5.1,5.9,82.02619082,8.2,7.1,6.1,0.1,3.3,1.6,1.7,6.8,8,6.6
Germany,DEU,2.2,0,1.4,0.1,0.4,8.2,0.1,0.8,1.65,3.6,2.1,8.7,4.1,9.2,7.8,5.6,1.9,1.9,0.4,0.4,1.2,0.45,0.8,2.1,Low,183,0,4.774,0.1,0,,0.1,7.9,0.8,7.7,0,0.3,3.3,2.2,2.2,2,1.8,1.9,1.9,0,0,0,0.7,1,2.5,1.4,0,0.1,0.4,0.4,0.9,0,0.45,0.45,0.4,0,,1.1,1.7,1.4,-164.22084,-1.966315236,0,,0.2,0.1,0.4,1433.121,10,0.017159623,6.4,8.2,,,,0.1,,9.00E-06,0,0.1,1.5,0,0.9,2.4,1.65,3.6,10,8.9,10,8,9,6.6,516.395559,10,8.3,8.7,,3.6,6.5,5.1,3.1,9.2,7.8
Ghana,GHA,5.5,7.1,5.9,1.2,5.3,3.5,4.7,1.1,3.75,3.4,4.4,3.7,4.8,0.8,2.5,3.5,5.7,5.7,5.8,5.8,5.8,5.15,5.5,4.7,Medium,67,6.1,13.593,9.1,3.1,5.9,6,7.1,6.7,5.6,3.4,3.7,5.3,5.5,5.5,5.9,5.4,5.7,5.7,9.6,9,9.3,0,2.7,0,0.9,9.5,3.4,5.8,5.8,5.3,5,5.15,5.15,5.8,6.1,7.9,7.2,4.6,5.9,1233.45582,40.55038392,0.8,1.1,1.8,1.2,5.3,17.982,4.2,0.000591166,2.8,3.5,3.2,3.5,3.35,2.8,6.8,0.538784256,6,4.7,1.9,0.2,4.1,3.4,3.75,3.4,4.2,,4.2,4,4.1,4.5,18.45829305,1.8,3.2,3.7,4.1,3.2,3.1,3.5,6,0.8,2.5
Greece,GRC,2.2,0.6,2.2,2.5,1.5,6.6,0.2,1.1,0.85,2.7,2.1,7.7,5.6,8.8,7.7,5.6,4.8,4.8,1.5,1.5,3.3,2.5,2.9,3.3,Low,146,0.6,4.007,0.1,0,,0.1,6.4,0.3,7.9,0.3,1.4,3.3,2.2,2.2,5.2,4.3,4.8,4.8,0,4.7,2.35,0,2.7,0.5,1.066666667,2.5,0,1.5,1.5,,2.5,2.5,2.5,1.5,0.6,,1.6,2.8,2.2,2531.85441,241.7402028,4.8,,0.1,2.5,1.5,137.559,7.1,0.013134065,6,6.6,0.6,0.6,0.6,0.1,,3.91E-06,0,0.2,2.1,0,1.6,0.1,0.85,2.7,7.9,8.6,7.9,,8.3,3.9,131.8851823,10,7,7.7,0.6,4.3,4.4,3.1,8,8.8,7.7
Grenada,GRD,2.7,2.7,,1.2,2.2,0,0.1,5.7,,2.4,2.3,5.8,3.9,4.8,4.8,3.7,5.1,5.1,3.9,3.9,4.5,5,4.8,3.6,Medium,131,2.7,8.093,0.9,0.7,,0.8,8.4,1.6,3.6,0.7,,3.6,2.7,2.7,4.7,5.5,5.1,5.1,6.4,5.4,5.9,0.5,3.4,,1.95,7.6,0.3,3.9,3.9,,5,5,5,3.9,2.7,,,,,2.42,21.60675702,0.4,1.9,1.4,1.2,2.2,0.005,0,4.46E-05,0,0,,,,0.1,,0.00213389,0,0.1,6.9,4.4,,,,2.4,,3.1,,,3.1,6.8,232.3529412,10,8.4,5.8,0.3,5,6.5,3.9,,4.8,4.8
Guatemala,GTM,4.6,6.7,6.2,1.9,5.4,7,1.1,4,1.55,3.8,4.6,3.9,7.2,1.6,3.6,4.1,6.9,6.9,5.4,5.4,6.2,5.65,5.9,4.8,Medium,64,5,11.693,3.9,1,2.3,2.4,7.4,5.4,5.1,3.4,7,5.7,4.6,4.6,7.4,6.4,6.9,6.9,9.1,9.4,9.25,2.9,3.1,2.5,2.833333333,8.6,1.1,5.4,5.4,3.8,7.5,5.65,5.65,5.4,5,7.9,6.6,5.8,6.2,1172.26244,66.67599694,1.3,0.3,4,1.9,5.4,242.644,7.9,0.013801117,6.1,7,1,0.8,0.9,0.5,0,0.275116094,3.1,1.1,4.5,3.4,1.8,1.3,1.55,3.8,2.9,5.8,2.9,6,4.9,3.8,19.5968645,1.9,2.9,3.9,3.7,4.2,9,5.6,8.8,1.6,3.6
Guinea,GIN,6.9,9.1,2.2,1.5,5.5,2.7,5.4,4,10,6.7,6.1,3.9,7.7,0,2.9,4.7,7,7,8.8,8.8,8,4.75,6.7,6,High,19,8.7,16.127,8.6,6.4,8.3,7.8,5.7,7.6,3.6,5.5,10,6.5,6.9,6.9,7.1,6.9,7,7,9.8,9.7,9.75,9.2,,,9.2,9.8,6.4,8.8,8.8,4.5,5,4.75,4.75,8.8,8.7,9.4,,2.2,2.2,436.99729,34.21727919,0.7,3.7,0.1,1.5,5.5,6.175,2.6,0.000483508,2.7,2.7,3,3.5,3.25,3.2,8.4,0.596667467,6.6,5.4,4.1,3.8,,10,10,6.7,,,,4,4,6,13.83688751,1.3,3.7,3.9,9.9,5.3,9.6,8.3,7,0,2.9
Guinea-Bissau,GNB,7,9.2,6.4,3.6,7.1,3.2,5.6,7.2,5.2,5.5,6.4,1.4,7.1,0.4,2.3,4.7,8.1,8.1,7.1,7.1,7.6,6.75,7.2,6.2,High,11,8.8,15.704,8.8,5.6,9.4,7.9,6.1,6.9,4.3,8.8,,6.5,7,7,8.2,8,8.1,8.1,9.5,8.9,9.2,2,,2,2,9.8,7.4,7.1,7.1,6,7.5,6.75,6.75,7.1,8.8,9.5,,6.4,6.4,89.92611,46.81415699,0.9,7,2.9,3.6,7.1,4.878,2.3,0.002539412,4,3.2,6.2,6.7,6.45,6.8,1.5,0.70225054,7.8,5.6,6.7,7.7,,5.2,5.2,5.5,,,,2,2,0.5,12.09103841,1.1,0.8,1.4,8.7,6.2,6.4,7.1,,0.4,2.3
Guyana,GUY,2.4,4.5,6.6,2.1,4.4,0.8,4,2.6,,2.6,3.6,2.9,6.2,3.6,4.1,3.9,5.8,5.8,4.9,4.9,5.4,5,5.2,3.7,Medium,119,4.6,9.528,1.6,0.7,2.3,1.5,2,1.5,2.7,3.6,4.5,2.9,2.4,2.4,6,5.5,5.8,5.8,8,8.1,8.05,0.3,1,0.3,0.533333333,9,1.9,4.9,4.9,,5,5,5,4.9,4.6,4.3,6.6,,6.6,64.18411,81.99560538,1.6,1.8,2.9,2.1,4.4,0.04,0,5.11E-05,1.5,0.8,3.2,3.6,3.4,1.6,0.8,0.932841493,10,4,4.1,1,,,,2.6,1,3.5,1,,2.3,6.6,2.133604267,0.1,3.4,2.9,2.9,6,8.8,5.9,6.5,3.6,4.1
Haiti,HTI,6.8,8.2,6.2,7.4,7.5,4.7,3.3,9,5.1,6.1,6.9,3.8,7.8,2,3.9,5.6,8.5,8.5,8.2,8.2,8.4,6.8,7.7,6.6,Very High,7,7.9,11.239,7.3,5.8,7.7,6.9,8.7,5.9,5.5,7.3,6.1,6.7,6.8,6.8,8.2,8.8,8.5,8.5,9.4,9.2,9.3,6.6,10,,8.3,9.8,5.3,8.2,8.2,6.1,7.5,6.8,6.8,8.2,7.9,8.5,8.3,4,6.2,3125.03176,277.4580343,5.5,6.8,10,7.4,7.5,34.519,5.1,0.003064792,4.2,4.7,4.2,3.5,3.85,3.3,0.1,0.537416278,6,3.3,7.9,10,2.9,7.3,5.1,6.1,,4.2,,0,2.1,2.5,83.45428157,8.3,5.4,3.8,6.8,7.3,7,7,8.5,2,3.9
Honduras,HND,4.3,6.4,6.4,3.4,5.7,7.1,1.1,3.4,1.85,3.8,4.8,4,6,1.6,3.3,4.1,6.8,6.8,4.8,4.8,5.9,7.05,6.5,4.9,Medium,61,5.5,10.372,2.1,0.9,1.6,1.5,6.4,5.6,5.7,4.5,6.2,5.7,4.3,4.3,7.4,6.2,6.8,6.8,9.2,9.2,9.2,0.3,,0.3,0.3,8.8,0.7,4.8,4.8,6.6,7.5,7.05,7.05,4.8,5.5,7.2,6.4,6.4,6.4,708.36795,72.68208409,1.5,2,6.6,3.4,5.7,190.084,7.6,0.019503566,6.6,7.1,0.8,0.5,0.65,0.7,0,0.279742441,3.1,1.1,4.1,2.6,2.3,1.4,1.85,3.8,4,4.8,4,4,4.3,5.8,13.40602377,1.3,3.6,4,2.6,6.2,2.3,3.7,8.2,1.6,3.3
Hungary,HUN,2.4,1.1,2.4,0.5,1.3,2.8,0.1,1.6,1.3,1.5,1.4,6.8,4.9,9.6,7.7,5.4,4.8,4.8,1.3,1.3,3.2,2.9,3.1,3.4,Low,139,1.1,4.72,0.2,0,,0.1,6.8,0.4,7.1,1.5,1.5,3.5,2.4,2.4,5.6,4,4.8,4.8,1.9,1.2,1.55,0,0,0,0,3.5,0.1,1.3,1.3,3.3,2.5,2.9,2.9,1.3,1.1,,3.4,1.4,2.4,0,0,0,,0.9,0.5,1.3,6.164,2.6,0.000636469,2.9,2.8,,0.2,0.2,0.1,,3.20E-06,0,0.1,3.2,0,1.6,1,1.3,1.5,8.7,6.9,8.7,4,6.5,4.2,176.7369933,10,7.1,6.8,0.2,5,0.2,1.8,8,9.6,7.7
Iceland,ISL,3.8,0,0.8,0.1,0.2,2.2,0.1,0.9,,1.1,0.7,5.3,4.7,6.4,5.7,3.6,2.2,2.2,1.1,1.1,1.7,0.8,1.3,2.6,Low,175,0,6.109,0.1,0,,0.1,1.8,5.9,9.4,,,5.7,3.8,3.8,2.2,2.1,2.2,2.2,0.1,6.1,3.1,1.7,0.7,1.9,1.433333333,0,0,1.1,1.1,1.6,0,0.8,0.8,1.1,0,,0.8,0.7,0.8,0,0,0,,0.2,0.1,0.2,1.048,0.1,0.003091108,4.2,2.2,,,,0.1,,2.95E-06,0,0.1,1.7,0,,,,1.1,7.2,5.9,7.2,8,7,4.6,23.94014963,2.3,3.5,5.3,,3.8,7,5.4,3.9,6.4,5.7
India,IND,4.7,6.6,4.7,0.4,4.6,6.1,2.2,4.4,3.75,4.3,4.5,5.6,5.3,3.6,4.5,4.5,5.2,5.2,5.6,5.6,5.4,3.75,4.6,4.6,Medium,73,5.1,8.547,4.5,1.2,4,3.2,8.9,4.6,3.4,3.9,6.4,5.4,4.7,4.7,5.9,4.4,5.2,5.2,8.1,9.3,8.7,1.9,3.7,,2.8,9.4,1.6,5.6,5.6,2.5,5,3.75,3.75,5.6,5.1,7.7,6.7,2.7,4.7,4949.55099,3.622282401,0.1,0.1,1,0.4,4.6,686.848,9.5,0.000502663,2.7,6.1,0.6,0.5,0.55,3.7,0.2,0.377380874,4.2,2.2,5.5,3.2,4.8,2.7,3.75,4.3,10,8,10,8,8.7,2.4,24.5527531,2.4,2.4,5.6,4.9,5.8,6.8,5.8,4.7,3.6,4.5
Indonesia,IDN,4.4,4.7,4.7,0.2,3.6,3.4,2.7,2.2,4.2,3.2,3.4,6.1,4.3,3.6,4.4,3.9,5.3,5.3,6.1,6.1,5.7,4.35,5.1,4.4,Medium,77,3.9,8.846,3,1.8,3.6,2.8,7.2,4.7,5.5,3.4,5,5.2,4.4,4.4,6,4.6,5.3,5.3,9.1,8.6,8.85,3.4,6.1,,4.75,8.9,2,6.1,6.1,3.7,5,4.35,4.35,6.1,3.9,5.4,6,3.3,4.7,2115.79496,7.818163611,0.2,0.1,0.4,0.2,3.6,30.016,4.9,0.000110913,1.9,3.4,0.8,1.1,0.95,5.8,0.1,0.371226042,4.1,2.7,3.2,1.1,,4.2,4.2,3.2,10,7.9,10,8,8.6,6.1,9.936132747,0.9,3.5,6.1,0.9,4.1,4,3,5.5,3.6,4.4
Iran,IRN,3.6,2.1,5.2,0.1,2.4,8,0.1,1.3,2.5,3.8,3.1,5.1,5.1,3.2,4.2,3.7,6.7,6.7,3.2,3.2,5.2,2,3.8,3.7,Medium,119,2.1,9.145,1.3,0.8,,1.1,5.7,4.1,7.5,2.7,3.8,4.8,3.6,3.6,7.4,5.9,6.7,6.7,7.2,8.2,7.7,0,0.2,,0.1,4.9,0.2,3.2,3.2,1.5,2.5,2,2,3.2,2.1,,6.6,3.8,5.2,814.75054,9.826465873,0.2,0,0.1,0.1,2.4,979.476,10,0.011813171,5.9,8,0.2,0.3,0.25,0.3,0,3.74E-07,0,0.1,2.5,0,,2.5,2.5,3.8,8.5,6.7,8.5,4,6.4,6.4,9.824690676,0.9,3.7,5.1,2.9,4.7,5.1,4.2,5.9,3.2,4.2
Iraq,IRQ,4.2,4.9,4.2,3.6,4.4,9.1,0.5,6.8,6.8,6.6,5.6,5.1,5,1.2,3.1,4.5,7.8,7.8,6.1,6.1,7,4.65,6,4.8,Medium,64,4.2,13.671,0.7,0.6,0.5,0.6,6.5,5.2,7,5.2,,6,4.2,4.2,8,7.6,7.8,7.8,7.9,8.4,8.15,6.1,4.2,10,6.766666667,8.5,0.9,6.1,6.1,1.8,7.5,4.65,4.65,6.1,4.2,5.6,7.2,1.1,4.2,26481.22212,673.6546492,10,0.7,0.1,3.6,4.4,1707.368,10,0.04343366,8.1,9.1,,,,0.8,0,0.055214898,0.6,0.5,5.5,8,,6.8,6.8,6.6,5.8,,5.8,8,6.9,5.4,11.05175907,1,3.2,5.1,8.2,5.4,1.5,5,,1.2,3.1
Ireland,IRL,3.1,0,1.5,0.1,0.4,3.9,0.2,0.2,0.35,1.3,0.9,7.1,3.7,6.4,5.9,3.8,2.4,2.4,1.4,1.4,1.9,2.9,2.4,3,Low,161,0,6.585,1,0.4,,0.7,6.2,2.6,6.3,,2,4.3,3.1,3.1,2.6,2.2,2.4,2.4,2.3,6.6,4.45,0.7,,1.4,1.05,0,0.1,1.4,1.4,3.3,2.5,2.9,2.9,1.4,0,,1.2,1.7,1.5,-0.60645,-0.12420896,0,,0.1,0.1,0.4,13.237,3.7,0.002711112,4.1,3.9,0.4,,0.4,0.1,,2.05E-06,0,0.2,0.4,0,0.7,0,0.35,1.3,10,7.5,10,0,5.8,6.7,159.674844,10,8.4,7.1,,5,1.8,3.4,3.9,6.4,5.9
Israel,ISR,4.1,0,2.4,0.1,0.6,5.4,0.1,0,,2.2,1.4,6.4,4.9,3.6,4.6,3.2,3.3,3.3,1.3,1.3,2.4,0.45,1.5,2.7,Low,173,0,9.94,0,0,,0,8.7,4.1,9.2,,2.9,6.2,4.1,4.1,4,2.6,3.3,3.3,2,6.2,4.1,0.2,0.5,0.8,0.5,0.5,0,1.3,1.3,0.9,0,0.45,0.45,1.3,0,,1.3,3.5,2.4,0,0,0,,0.1,0.1,0.6,54.139,5.8,0.00635481,5,5.4,,,,0.1,,0,0,0.1,0,0,,,,2.2,7.2,6.4,7.2,2,5.2,5.2,212.5693161,10,7.6,6.4,,3.7,3.9,3.8,5.9,3.6,4.6
Italy,ITA,2.8,0.3,1.8,0.1,0.6,6.5,0.2,0.4,0.5,2.4,1.5,8.6,5.8,9.2,8.2,5.8,4.5,4.5,1.1,1.1,3,0.75,1.9,3.1,Low,156,0.3,3.935,0.1,0.1,,0.1,7.7,0.5,7,,1,4.1,2.8,2.8,4.7,4.2,4.5,4.5,0,5.8,2.9,0.8,2.2,1.4,1.466666667,0,0,1.1,1.1,1.5,0,0.75,0.75,1.1,0.3,,0.9,2.6,1.8,48.2403,0.796700689,0,,0.2,0.1,0.6,294.867,8.2,0.004869803,4.7,6.5,0.6,0.3,0.45,0.1,,1.70E-06,0,0.2,0.8,0,,0.5,0.5,2.4,8.6,9.4,8.6,8,8.7,6.7,241.381655,10,8.4,8.6,0.2,3.2,5.6,3,8.6,9.2,8.2
Jamaica,JAM,4,4.1,5.4,2.1,3.9,0,1.7,2.9,1.1,1.5,2.8,6.2,5,4.8,5.2,4.1,4.9,4.9,4.4,4.4,4.7,3.7,4.2,4.1,Medium,91,3.5,7.912,1.4,1.6,3.4,2.1,8.1,2,5.6,6.6,2.7,5,4,4,5.7,4,4.9,4.9,6.7,8,7.35,1,0.7,,0.85,8.4,0.9,4.4,4.4,2.4,5,3.7,3.7,4.4,3.5,4.7,5.4,,5.4,84.16,28.54548606,0.6,0.4,5.3,2.1,3.9,0.037,0,1.25E-05,0,0,3.4,3.9,3.65,0.1,,0.103752463,1.2,1.7,4.8,1,1.7,0.5,1.1,1.5,3.1,5.9,3.1,8,5.7,5.6,76.63896584,7.6,6.6,6.2,2.5,5.1,0.9,2.8,7.1,4.8,5.2
Japan,JPN,3.2,0,1.3,0,0.3,3.7,0.2,2.4,1,1.9,1.1,8.9,3.8,10,8.2,5.7,2.2,2.2,0.6,0.6,1.4,0,0.7,2.3,Low,181,0,3.867,0,0.2,,0.1,8.5,0,9.2,,1.1,4.7,3.2,3.2,2.7,1.6,2.2,2.2,4,0,2,0,0.7,0,0.233333333,0,0.1,0.6,0.6,,0,0,0,0.6,0,,1.3,,1.3,8,0.063061494,0,,0,0,0.3,30.935,5,0.000243851,2.3,3.7,0.2,0.1,0.15,0.3,,6.31E-08,0,0.2,4.8,0,,1,1,1.9,10,8.6,10,,9.3,6.9,384.0877915,10,8.5,8.9,,3,3.8,3.4,4.2,10,8.2
Jordan,JOR,4.1,2.2,4.2,5.8,3.6,10,0.1,3.6,2.6,5.8,4.8,4.6,4.2,1.6,3,4,5,5,3.8,3.8,4.4,5.1,4.8,4.3,Medium,80,3.5,10.765,0.3,0.2,,0.3,6.8,4.1,9.1,2.3,7.7,6,4.1,4.1,5.2,4.8,5,5,4.1,8.4,6.25,0,0,,0,8.5,0.5,3.8,3.8,5.2,5,5.1,5.1,3.8,3.5,0.7,6.2,2.2,4.2,18587.25785,1840.013401,10,4,3.5,5.8,3.6,3124.175,10,0.309272294,10,10,0.2,,0.2,0.1,,1.53E-05,0,0.1,4.8,2.4,3,2.2,2.6,5.8,6.3,6.5,6.3,4,5.6,3.7,32.66501464,3.2,3.5,4.6,0.4,5.8,2.4,2.9,5.4,1.6,3
Kazakhstan,KAZ,2.6,1.3,1.7,0,1.1,0,0.5,0.8,1.6,0.7,0.9,4.9,4.6,3.6,4.2,2.7,5.8,5.8,2.3,2.3,4.3,3.95,4.1,3.1,Low,156,1.7,10.499,0.2,0.7,0.1,0.3,2.8,3,5.7,,3.7,3.8,2.6,2.6,6.6,5,5.8,5.8,1.9,1.6,1.75,0,0,0.2,0.066666667,7.3,0.1,2.3,2.3,2.9,5,3.95,3.95,2.3,1.7,0.8,2.7,0.6,1.7,15.23,0.82096106,0,0,0.1,0,1.1,0.769,0,4.15E-05,0,0,0.4,1.1,0.75,1.2,0,5.39E-08,0,0.5,1.6,0,,1.6,1.6,0.7,7.1,7.2,7.1,10,8.1,2.6,5.926584435,0.5,1.6,4.9,0,3,8.3,3.8,5.4,3.6,4.2
Kenya,KEN,6,7.5,5.7,1.9,5.7,7.7,4.6,7.5,5.4,6.5,6.1,3.4,6.5,0.8,2.9,4.7,6.5,6.5,7.1,7.1,6.8,5.75,6.3,5.6,High,37,6.4,13.333,7.9,6.8,7.5,7.4,6.5,8.1,2.7,5.2,4.1,5.3,6,6,7.2,5.8,6.5,6.5,9.5,8.4,8.95,2.9,10,4.7,5.866666667,9.7,3.8,7.1,7.1,6.5,5,5.75,5.75,7.1,6.4,8.3,7.3,4,5.7,7570.7092,144.0011023,2.9,1.9,1,1.9,5.7,663.65,9.4,0.012623168,6,7.7,10,6.5,8.25,5.8,1.8,0.221137241,2.5,4.6,6.9,8.1,5.6,5.2,5.4,6.5,6.9,5.3,6.9,4,5.4,1.6,10.5422216,1,1.3,3.4,3.7,5.3,8.6,5.9,7.1,0.8,2.9
Kiribati,KIR,5.9,5.5,3,7.7,5.4,0,8.8,0.6,8,5.7,5.6,5.9,7.7,5.6,6.2,5.9,5.6,5.6,5.3,5.3,5.5,6.2,5.9,5.9,High,22,5.5,12.72,5.8,4.7,,5.3,7.2,5.9,5.4,,,6.2,5.9,5.9,,5.6,5.6,5.6,9.5,7.8,8.65,1.5,3.4,1.4,2.1,9.3,1,5.3,5.3,4.9,7.5,6.2,6.2,5.3,5.5,,,3,3,98.59603,838.3445854,10,10,3.2,7.7,5.4,0,0,0,0,0,,,,7.5,,1,10,8.8,1.2,0,8,,8,5.7,2.1,0,2.1,8,3.4,7.2,92.59259259,9.3,8.3,5.9,,7.7,,7.7,,5.6,6.2
Korea DPR,PRK,3.9,8.4,,0.8,5.9,0,3.9,9.4,,6,6,4.5,3.3,5.6,4.8,5.4,8.2,8.2,0.6,0.6,5.6,4.35,5,4.7,Medium,67,8.4,6.793,1.9,0.9,,1.4,7.8,1.7,6.2,,4.8,5.1,3.9,3.9,8.3,8.1,8.2,8.2,0.8,0,0.4,0.3,0.2,,0.25,,1,0.6,0.6,3.7,5,4.35,4.35,0.6,8.4,,,,,964.42121,37.57559702,0.8,,,0.8,5.9,0,0,0,0,0,,,,9.3,0,0.216431224,2.4,3.9,8.8,10,,,,6,2.5,,2.5,6,4.3,6.3,29.06735321,2.8,4.6,4.5,0,9.5,0.5,3.3,,5.6,4.8
Korea Republic of,KOR,3.9,0,1.3,0.1,0.4,3.6,0.4,1,2.2,1.9,1.2,8.3,4.7,7.6,7.1,4.8,3.4,3.4,0.8,0.8,2.2,0.3,1.3,2.9,Low,167,0,3.845,0,0,,0,9.1,0.5,8.1,,,5.9,3.9,3.9,4.1,2.6,3.4,3.4,4.1,0,2.05,0.2,0.3,0.2,0.233333333,1,0.1,0.8,0.8,0.6,0,0.3,0.3,0.8,0,,0.8,1.7,1.3,4.05135,0.079088816,0,,0.1,0.1,0.4,22.739,4.5,0.000443902,2.6,3.6,,,,1.3,0,5.86E-08,0,0.4,2,0,,2.2,2.2,1.9,9.9,7.8,9.9,8,8.6,5.9,102.9866117,10,8,8.3,,3.6,0.2,1.9,7.5,7.6,7.1
Kuwait,KWT,4.9,1.8,3.3,0,1.7,1.6,0.3,1,4.6,2,1.9,5.8,4.9,3.2,4.3,3.2,5.6,5.6,1.5,1.5,3.8,3.45,3.6,3.8,Medium,112,1.8,7.061,0,0,,0,7.9,4,10,,,7.3,4.9,4.9,6,5.2,5.6,5.6,3.6,7.5,5.55,0,0,0,0,0.3,0.1,1.5,1.5,4.4,2.5,3.45,3.45,1.5,1.8,,3.3,,3.3,-73.09278,-17.37376806,0,,0,0,1.7,1.654,0.7,0.000393147,2.5,1.6,0.2,0.3,0.25,0.5,,1.43E-06,0,0.3,1.9,0,,4.6,4.6,2,7,,7,6,6.5,4.9,52.18855219,5.2,5.1,5.8,0.8,1.5,6.6,3,6.7,3.2,4.3
