COUNTRY,ISO3,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Food Security,GBV,Vulnerable Groups,VULNERABILITY (Hazard-independent),Movements,Behaviour,Demographic and co-morbidity,COVID-19 VULNERABILITY,VULNERABILITY,Governance,Institutional,Access to health care,physical Infrastructure,LACK OF COPING CAPACITY (Hazard-independent),COVID-19 LACK OF COPING CAPACITY,LACK OF COPING CAPACITY,INFORM COVID-19 RISK,COVID-19 RISK CLASS,Rank,Human,Children U5,Sanitation,Drinking water,Hygiene,WaSH,Population density,Urban population growth,Population living in urban areas,Population living in slums (% of urban population),Household size,Population,P2P,Covid-19 Hazard & Exposure,Corruption Perception Index,Government Effectiveness,Governance,INFORM Institutional,Physicians Density,Hospital bed,Health system capacity,Coverage of DTP3 vaccine,Coverage of measles-containing vaccine,Coverage of pneumococcal conjugate vaccine,Immunization coverage,Per capita public and private expenditure on health care,Maternal Mortality Ratio,Access to health care Index,INFORM Infrastructure,IHR,Operational readiness index,Health capacity specific to Covid-19,Covid-19 Lack of coping capacity,Infrastructure,Human Development Index,Multidimensional Poverty Index,Gender Inequality Index,Gini Index,Inequality,Total public Aid (M US$),Public Aid per capita (US$),Public Aid per capita (US$),Net ODA received (% of GNI),Volume of remittances,Economic Dependency Index,INFORM Socio-Economic Vulnerability,"Total Uprooted people (1,000 people)",Uprooted people (total population),Total/Pop,Total Uprooted people (percentage of the total population),Uprooted people,Estimated number of people living with HIV - Adult (>15) rate,"Number of new HIV infections per 1,000 uninfected population",HIV,Incidence of Tuberculosis,"Malaria incidence per 1,000 population at risk",People requiring interventions against neglected tropical diseases (% of total population),People requiring interventions against neglected tropical diseases,Health Conditions,Food Availability Score,Food Utilization Score,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence,Attitudes towards violence,GBV,INFORM Vulnerable Groups,International tourism(number of arrivals),International tourism(number of arrivals),Air transport(passengers carried),Point of entry,International movements,Access to Cities,Road density,Road density,Internal movements,Movements,Adult literacy rate,Mobile cellular subscriptions,Internet users,Awareness,Trust,Demographic and Co-morbidities,Covid-19 Vulnerability
Niger,NER,7.1,10,5.5,5.4,7.7,7.7,4.5,3.7,7.5,6.2,7,3.2,8.5,0,2.9,5.3,6.7,6.7,7.7,7.7,7.2,5.3,6.3,6.2,High,11,10,19.914,9.6,8.3,9.1,9,4.2,8.5,1.6,6.9,9.8,6.2,7.1,7.1,6.8,6.5,6.7,6.7,9.9,9.8,9.85,3.1,10,3.2,5.433333333,10,5.7,7.7,7.7,5.6,5,5.3,5.3,7.7,10,10,8.6,2.3,5.5,7302.00162,313.2465206,6.3,8.8,1.1,5.4,7.7,422.55,8.8,0.018126854,6.5,7.7,0.8,0.5,0.65,1.6,9,0.603527158,6.7,4.5,3.5,3.8,,7.5,7.5,6.2,,3,,2,2.5,7.3,3.868319255,0.3,3.8,3.2,10,8.2,7.4,8.5,,0,2.9
Nigeria,NGA,6.5,8.3,4.5,1.6,5.7,7.9,6.1,3.7,3.3,5.6,5.7,4,6.7,0,2.7,4.4,7.2,7.2,9.6,9.6,8.7,4.9,7.2,5.9,High,22,7.3,16.625,6.8,4.8,5.8,5.8,7.8,8.5,5,6,7.3,6.9,6.5,6.5,7.4,7,7.2,7.2,9,9.5,9.25,9.7,,10,9.85,9.4,10,9.6,9.6,4.8,5,4.9,4.9,9.6,7.3,9.1,,4.5,4.5,20898.01955,103.9890768,2.1,0.6,2,1.6,5.7,2251.682,10,0.011204427,5.8,7.9,5.8,,5.8,4,7,0.666651682,7.4,6.1,4.5,2.8,2.3,4.3,3.3,5.6,7.3,,7.3,4,5.7,3.5,10.76012605,1,2.3,4,6.8,5.7,0.3,4.3,9,0,2.7
North Macedonia,MKD,2.5,3.2,2.3,1,2.4,1.2,0.1,2,1.6,1.2,1.8,6.6,4.7,7.2,6.4,4.5,5.7,5.7,2.9,2.9,4.4,4.35,4.4,3.7,Medium,119,2.8,5.456,0.1,1.1,,0.6,6.4,0.8,5.8,0.9,,3.5,2.5,2.5,6.5,4.8,5.7,5.7,2.8,4.5,3.65,1.4,0.3,,0.85,7,0.1,2.9,2.9,3.7,5,4.35,4.35,2.9,2.8,3.6,1.9,2.7,2.3,119.39,57.30377094,1.1,0.9,0.9,1,2.4,0.566,0,0.000271664,2.3,1.2,0.2,0.1,0.15,0.2,,4.32E-06,0,0.1,4,0,,1.6,1.6,1.2,,4.5,,10,7.3,6.3,55.51149881,5.5,5.9,6.6,0.5,5.4,2.3,2.7,6.6,7.2,6.4
Norway,NOR,2,0,0.6,0,0.2,5.9,0.2,1,1.1,2.4,1.4,5.6,4.4,7.2,6.1,4.1,1.4,1.4,0.9,0.9,1.2,0.4,0.8,1.9,Very Low,189,0,5.6,0.2,0,,0.1,3.9,2.3,8.2,0,0.5,3,2,2,1.6,1.2,1.4,1.4,0,5.2,2.6,0.5,1.4,0.8,0.9,0,0,0.9,0.9,0.8,0,0.4,0.4,0.9,0,,0.6,0.6,0.6,-35.91124,-6.676367609,0,,0,0,0.2,59.318,5.9,0.011027989,5.8,5.9,0.4,,0.4,0.1,,7.44E-06,0,0.2,2,0,,1.1,1.1,2.4,,7,,6,6.5,4.9,46.01479047,4.5,4.7,5.6,,4.8,8.4,6.6,2.1,7.2,6.1
Oman,OMN,5,1.3,4.1,0,1.7,1,0.1,2.3,0.9,1.1,1.4,4.8,3,2,3,2.2,4.7,4.7,1.9,1.9,3.4,1.25,2.4,3,Low,161,1.3,9.056,0,1.3,0.3,0.5,4,9.2,8.5,,,7.2,5,5,4.8,4.6,4.7,4.7,5.1,8.1,6.6,0,0,0,0,0.6,0.2,1.9,1.9,0,2.5,1.25,1.25,1.9,1.3,,4.1,,4.1,0,0,0,,0,0,1.7,0.564,0,0.000113367,1.9,1,0.4,,0.4,0.1,0,2.01E-07,0,0.1,3.9,0.6,,0.9,0.9,1.1,7.5,5.9,7.5,10,7.8,2,13.57027464,1.3,1.7,4.8,0.9,3.4,,2.2,3.8,2,3
Pakistan,PAK,5.3,7.8,4.7,1,5.3,7.6,1.8,5.3,5.2,5.3,5.3,5.1,6.1,1.2,3.4,4.4,6.6,6.6,6.4,6.4,6.5,6.2,6.4,5.3,High,45,6.8,12.776,4.5,1.4,4,3.3,8.1,5.3,3.7,4.5,10,6.3,5.3,5.3,6.8,6.3,6.6,6.6,7.6,9.4,8.5,4.1,9.2,4.1,5.8,9.7,1.6,6.4,6.4,4.9,7.5,6.2,6.2,6.4,6.8,8.5,7.3,2.1,4.7,4964.70727,22.92475701,0.5,0.3,2.2,1,5.3,1528.212,10,0.007056587,5.2,7.6,0.2,0.6,0.4,4.9,0.1,0.146298643,1.6,1.8,5.5,5.1,,5.2,5.2,5.3,7.1,,7.1,4,5.6,7.8,12.97218763,1.2,4.5,5.1,7.1,6.5,3.9,5.8,6.4,1.2,3.4
Palau,PLW,3.5,1.7,,6.8,3.4,0,1,5,2,2.2,2.8,4.4,2.9,,3.7,3.3,5,5,3.9,3.9,4.5,5.75,5.2,3.9,Medium,104,1.7,,0,0,,0,5.3,2.5,8,,,5.3,3.5,3.5,,5,5,5,7,,7,0.3,0.7,1.7,0.9,3.8,,3.9,3.9,4,7.5,5.75,5.75,3.9,1.7,,,,,112.16459,6231.019943,10,10,0.3,6.8,3.4,0,0,0,0,0,,,,1.9,,0,0,1,10,0,2,,2,2.2,,2.7,,6,4.4,2.7,60.86956522,6,4.4,4.4,0.7,3.4,4.6,2.9,,,3.7
Palestine,PSE,5.1,3.2,2.2,8.2,4.2,10,0,2.8,4.8,6.1,5.2,4.9,5.1,0.8,2.9,4.1,6.5,6.5,0.2,0.2,4,7.5,6,5,High,56,4.2,13.858,0.3,0.5,,0.4,9.6,5.8,7.6,4.4,9.7,7.4,5.1,5.1,,6.5,6.5,6.5,,,,0,0,0,0,,0.3,0.2,0.2,,7.5,7.5,7.5,0.2,4.2,2.1,,2.2,2.2,9628.36423,1932.85456,10,8.8,5.7,8.2,4.2,2856.286,10,0.573387679,10,10,,,,0,,,,0,3.2,2.4,,4.8,4.8,6.1,,4.3,,,4.3,0.9,282.3920266,10,5.5,4.9,0.6,5.6,9,5.1,,0.8,2.9
Panama,PAN,3.6,2.1,6.2,0.3,2.7,4.2,1,2.9,1.35,2.5,2.6,5.1,5.4,3.2,4.2,3.4,5.7,5.7,3.3,3.3,4.6,3.95,4.3,3.7,Medium,119,2.1,9.162,1.9,0.6,,1.3,5.8,4.4,6.8,2.5,4.2,4.7,3.6,3.6,6.4,5,5.7,5.7,6.1,7.2,6.65,3.1,1,1.5,1.866666667,4.2,0.6,3.3,3.3,2.9,5,3.95,3.95,3.3,2.1,,6.1,6.2,6.2,110.97982,26.13479055,0.5,0,0.3,0.3,2.7,16.134,4,0.003799418,4.4,4.2,1.6,2.5,2.05,1,0,0.102681069,1.1,1,4.1,1.7,2.1,0.6,1.35,2.5,7.8,5.7,7.8,6,6.5,5.7,16.14205004,1.5,3.6,5.1,1,3.2,3.9,2.7,8.1,3.2,4.2
Papua New Guinea,PNG,5.6,7.1,7.1,1.7,5.8,4.3,5.7,3.9,,4.7,5.3,2,6.6,4,4.2,4.8,6.8,6.8,6.4,6.4,6.6,6.95,6.8,5.7,High,31,7.1,12.484,9.7,9.8,,9.8,4.3,5,1.3,,,3.5,5.6,5.6,7.2,6.4,6.8,6.8,,,,6.3,,9.3,7.8,9.9,1.6,6.4,6.4,6.4,7.5,6.95,6.95,6.4,7.1,,9.9,4.2,7.1,1191.72799,135.7921412,2.7,2.3,0,1.7,5.8,22.177,4.5,0.002526971,4,4.3,1.8,2,1.9,7.9,4.5,0.74596174,8.3,5.7,6.5,1.3,,,,4.7,5,,5,2,3.5,0.7,3.091463145,0.2,0.5,2,6.8,7.8,5.1,6.6,,4,4.2
Paraguay,PRY,2.5,4.1,6.2,0.4,3.7,0.9,1.3,3.5,2.8,2.2,3,4.3,6.4,2,3.7,3.4,6.6,6.6,4.6,4.6,5.7,5.65,5.7,3.6,Medium,131,3.5,9.908,1.1,0.1,2,1.1,4.1,3.5,6.2,2,0,3.2,2.5,2.5,7.2,6,6.6,6.6,6.6,8.5,7.55,1.2,2.9,1,1.7,7.6,1.4,4.6,4.6,3.8,7.5,5.65,5.65,4.6,3.5,4.7,6.4,6,6.2,126.6642,17.98022581,0.4,0.3,0.6,0.4,3.7,0.618,0,8.77E-05,1.8,0.9,1,1.2,1.1,0.8,0,0.280334166,3.1,1.3,5.1,1.9,,2.8,2.8,2.2,4.4,5.5,4.4,6,5.3,4.6,18.62572363,1.8,3.2,4.3,1.3,4.8,4.5,3.5,9.2,2,3.7
Peru,PER,4,4.9,4.9,0.4,3.8,6.9,0.9,3,3.05,3.8,3.8,4.8,5.7,2.4,3.8,3.8,6,6,5,5,5.5,4.75,5.1,4.3,Medium,80,2.8,8.644,2.9,1.5,,2.2,4.7,3.9,7.8,3.8,4.4,4.9,4,4,6.4,5.5,6,6,6.8,8.1,7.45,2.7,5.6,3.2,3.833333333,7.9,1,5,5,4.5,5,4.75,4.75,5,2.8,6.4,5.1,4.6,4.9,817.93948,25.15926965,0.5,0.1,0.5,0.4,3.8,292.4,8.2,0.008994028,5.5,6.9,0.6,0.5,0.55,2.1,0.1,0.082410917,0.9,0.9,4.4,1.6,2.2,3.9,3.05,3.8,8.1,6.5,8.1,4,6.2,6,6.5625,0.6,3.3,4.8,1.2,3.9,2.4,2.5,8.8,2.4,3.8
Philippines,PHL,4.5,4.5,4.8,1.3,3.8,6.2,3.9,3.4,1.25,3.9,3.9,6.3,5.2,2.8,4.3,4.1,5.8,5.8,5.9,5.9,5.9,5,5.5,4.7,Medium,67,3.8,9.967,2.6,1.1,2.2,2,8.5,3.8,4.7,4.8,6.9,5.7,4.5,4.5,6.6,4.9,5.8,5.8,,9.5,9.5,1.9,3.2,6.4,3.833333333,9,1.3,5.9,5.9,,5,5,5,5.9,3.8,5.1,5.7,3.8,4.8,1385.9619,12.81913802,0.3,0.1,3.4,1.3,3.8,301.89,8.3,0.002792263,4.1,6.2,0.2,0.7,0.45,10,0,0.454539636,5.1,3.9,4,2.8,1,1.5,1.25,3.9,9.1,7.1,9.1,,8.1,3.7,50.30687192,5,4.4,6.3,0.4,3.8,2.6,2.3,8,2.8,4.3
Poland,POL,2,0.6,1.6,0.2,0.8,3.3,0.2,0.8,0.7,1.3,1.1,8,4.7,8.8,7.6,5.2,4,4,1.9,1.9,3,2.5,2.8,3.1,Low,156,0.6,4.959,0.1,0,,0.1,7,0,6,0,2,3,2,2,4.2,3.7,4,4,4,1.9,2.95,0.2,1,,0.6,4.1,0,1.9,1.9,,2.5,2.5,2.5,1.9,0.6,,1.6,1.5,1.6,0,0,0,,0.4,0.2,0.8,15.571,4,0.000410977,2.6,3.3,0.2,,0.2,0.3,,2.74E-06,0,0.2,1.6,0,0.5,0.9,0.7,1.3,7.4,8.2,7.4,,7.8,6.3,200.5589347,10,8.2,8,0.3,3.3,0.6,1.4,7.9,8.8,7.6
Portugal,PRT,2.2,1,1.9,0.1,1,1.7,0.3,0.8,0.6,0.9,1,7.9,4.6,10,8.1,5.6,3.2,3.2,1.3,1.3,2.3,1.15,1.7,2.8,Low,168,1,3.973,0,0,,0,6.8,1.4,6.5,0.4,1.6,3.3,2.2,2.2,3.8,2.6,3.2,3.2,1.7,5.8,3.75,0.2,0.7,0.5,0.466666667,0.8,0.1,1.3,1.3,2.3,0,1.15,1.15,1.3,1,,1.1,2.6,1.9,0,0,0,,0.1,0.1,1,2.221,1.2,0.000217188,2.2,1.7,,0.5,0.5,0.4,,1.27E-06,0,0.3,1.5,0,1.1,0.1,0.6,0.9,8.1,8,8.1,8,8,5.4,174.920739,10,7.7,7.9,0.8,4.3,3.6,2.9,6.3,10,8.1
Qatar,QAT,5,1,2.7,0.1,1.2,0.9,0.3,1,0.8,0.8,1,6.5,2.1,2.4,3.4,2.3,3.8,3.8,2.5,2.5,3.2,3.15,3.2,3.3,Low,146,1,4.772,0,0.1,,0.1,7.9,4.3,9.9,,,7.4,5,5,3.8,3.7,3.8,3.8,10,8.6,9.3,0.3,1,0.2,0.5,0,0.1,2.5,2.5,1.3,5,3.15,3.15,2.5,1,,2.7,,2.7,-81,-28.60097787,0,,0.1,0.1,1.2,0.282,0,9.96E-05,1.8,0.9,0.2,0.4,0.3,0.5,,7.42E-06,0,0.3,1.9,0,,0.8,0.8,0.8,8.7,5.9,8.7,4,6.2,3.8,94.7459087,9.5,6.7,6.5,1.4,3,2.4,2.3,1.8,2.4,3.4
Romania,ROU,2.4,1.7,3.5,0.5,1.9,2.5,0.5,0.4,1.15,1.2,1.6,7.5,6.3,8.8,7.9,5.6,5.6,5.6,3.3,3.3,4.6,2.65,3.7,3.7,Medium,119,1.7,4.855,1.7,0,,0.9,6.4,0,5.4,1.6,2.2,3.1,2.4,2.4,5.6,5.5,5.6,5.6,4.4,2.2,3.3,2.9,4.1,,3.5,6.3,0.2,3.3,3.3,2.8,2.5,2.65,2.65,3.3,1.7,,4.2,2.7,3.5,0,0,0,,1,0.5,1.9,5.644,2.5,0.00029146,2.4,2.5,0.2,0.2,0.2,1.3,,1.14E-06,0,0.5,0.7,0,1.4,0.9,1.15,1.2,6.7,7.6,6.7,4,6.1,9,86.8960723,8.7,8.9,7.5,0.3,4.3,8,4.2,8.3,8.8,7.9
Russian Federation,RUS,2.3,1.5,3.3,0.1,1.6,4.6,1.8,0.8,2.8,2.6,2.1,6.2,3.7,8.4,6.7,4.8,6.2,6.2,1.9,1.9,4.4,1.25,3,3.2,Low,153,1.5,6.444,1.1,0.5,,0.8,3.2,0.4,7.4,,1.5,3.1,2.3,2.3,7.2,5.1,6.2,6.2,0,0,0,0.3,0.3,4.9,1.833333333,5.7,0.2,1.9,1.9,0,2.5,1.25,1.25,1.9,1.5,,3.4,3.2,3.3,6.41352,0.043966687,0,,0.2,0.1,1.6,81.11,6.4,0.000556034,2.8,4.6,,4.3,4.3,1.1,,2.06E-08,0,1.8,1.6,0,,2.8,2.8,2.6,10,8.5,10,10,9.5,4.7,11.60172854,1.1,2.9,6.2,0.1,2.2,2.3,1.5,5.9,8.4,6.7
Rwanda,RWA,5.9,8.2,5.1,3.7,6.3,6.6,5.1,8.4,4.8,6.5,6.4,4.5,4.1,0,2.2,4.6,4.7,4.7,5.4,5.4,5.1,4.15,4.6,5,High,56,7.3,14.642,3.7,7,9.5,6.7,9,6.3,1.7,5.1,5.6,5.5,5.9,5.9,4.7,4.6,4.7,4.7,9.7,8.1,8.9,0.2,0.7,0.2,0.366666667,9.7,2.8,5.4,5.4,3.3,5,4.15,4.15,5.4,7.3,8.9,5.5,4.7,5.1,1442.16067,114.2130159,2.3,8,0.9,3.7,6.3,153.393,7.3,0.012148076,5.9,6.6,6.2,3.5,4.85,1,10,0.421995657,4.7,5.1,6.8,10,4.5,5.1,4.8,6.5,5.1,,5.1,4,4.6,5.5,32.83340089,3.2,4.4,4.5,5.1,6.2,5.3,5.5,2.6,0,2.2
Saint Kitts and Nevis,KNA,2.9,2.5,,0.5,1.8,0.9,0,3.5,,1.6,1.7,4.7,3.1,,3.9,2.9,3.9,3.9,3.1,3.1,3.5,5.1,4.3,3.3,Low,146,2.5,,0.9,0.2,,0.6,7.7,1.5,3.1,,,4.1,2.9,2.9,,3.9,3.9,3.9,3.7,,3.7,0.3,0.7,,0.5,5.2,,3.1,3.1,5.2,5,5.1,5.1,3.1,2.5,,,,,0,0,0,,0.9,0.5,1.8,0.004,0,7.57E-05,1.7,0.9,,,,0,,0.000189272,0,0,6.7,0.2,,,,1.6,,,,2,2,4.8,165.3846154,10,7.4,4.7,,2.7,3.4,3.1,,,3.9
Saint Lucia,LCA,2.5,3.2,5.5,0.6,3.1,0,0.8,6,,2.7,2.9,7.6,6.1,5.6,6.2,4.8,4.6,4.6,5.4,5.4,5,4.5,4.8,3.9,Medium,104,3.1,5.98,1.3,0.3,1.3,1,8.2,1.7,1.9,1.3,,3.3,2.5,2.5,4.5,4.6,4.6,4.6,,8.5,8.5,3.2,4.4,,3.8,7.9,1.3,5.4,5.4,4,5,4.5,4.5,5.4,3.1,3.2,4.4,6.6,5.5,7.18,39.27897371,0.8,0.3,0.7,0.6,3.1,0.002,0,1.09E-05,0,0,,,,0.1,,0.128367844,1.4,0.8,7.5,4.4,,,,2.7,,4,,10,7,6.4,113.1147541,10,8.2,7.6,,5,7.1,6.1,,5.6,6.2
Saint Vincent and the Grenadines,VCT,3.8,3.4,,1.4,2.7,0,0,2.1,,0.7,1.8,4.9,6.3,5.6,5.6,3.9,4.4,4.4,4.1,4.1,4.3,5.25,4.8,4.1,Medium,91,3.4,7.073,1.4,0.8,,1.1,8.2,2.3,5.2,,,5.2,3.8,3.8,4.1,4.6,4.4,4.4,,6.8,6.8,0,0,,0,8.8,0.8,4.1,4.1,5.5,5,5.25,5.25,4.1,3.4,,,,,4.6,41.5939526,0.8,1.5,1.9,1.4,2.7,0,0,0,0,0,,,,0,,4.52E-05,0,0,3.9,0.2,,,,0.7,,2.2,,2,2.1,5.3,105.1282051,10,7.7,4.9,,5.3,7.2,6.3,,5.6,5.6
Samoa,WSM,1.8,3.9,4.2,8.6,5.2,0,1.9,1.3,4.8,2.2,3.9,4.6,3.1,3.6,3.7,3.8,3.8,3.8,6.4,6.4,5.2,5.1,5.2,3.3,Low,146,3.9,13.951,0.2,0.4,,0.3,6.1,0,1.8,,,2.6,1.8,1.8,,3.8,3.8,3.8,9.1,,9.1,4.2,9.7,,6.95,9,0.5,6.4,6.4,2.7,7.5,5.1,5.1,6.4,3.9,,4.9,3.4,4.2,194.60369,987.3698711,10,9.7,6,8.6,5.2,0,0,0,0,0,,,,0.3,,0.311147529,3.5,1.9,2.5,0,4.8,,4.8,2.2,2.8,2.9,2.8,4,3.2,6.1,56.53710247,5.6,5.9,4.6,0.2,7,2,3.1,,3.6,3.7
Sao Tome and Principe,STP,6.4,6.6,4.4,3.8,5.4,0,3.5,2.5,5.8,3.2,4.4,3,5.1,0.4,2.2,3.4,5.9,5.9,5.1,5.1,5.5,6.8,6.2,5.1,High,51,5.8,14.675,6.3,2.6,5.9,4.9,7.8,6.1,7.3,9.6,4.6,7.1,6.4,6.4,5.4,6.3,5.9,5.9,9.2,6.5,7.85,0.7,3.9,0.7,1.766666667,9.5,1.4,5.1,5.1,6.1,7.5,6.8,6.8,5.1,5.8,7.3,7.3,1.5,4.4,33.66,156.5231948,3.1,7,1.4,3.8,5.4,0,0,0,0,0,1.6,,1.6,2.1,0.3,0.896544027,10,3.5,4.3,0.7,5.8,,5.8,3.2,,,,0,0,5.4,66.66666667,6.6,6,3,1.5,6.3,7.4,5.1,,0.4,2.2
Saudi Arabia,SAU,3.1,0.9,3,0,1.2,1.5,0.1,1.7,,1.1,1.2,5.2,2.9,2.4,3.2,2.3,4.6,4.6,1.5,1.5,3.2,2.8,3,2.8,Low,168,0.9,8.745,0,0,,0,4,4.1,8.4,2,,4.6,3.1,3.1,4.7,4.4,4.6,4.6,4,6.8,5.4,0.2,0.5,0.2,0.3,0,0.2,1.5,1.5,3.1,2.5,2.8,2.8,1.5,0.9,,3,,3,0,0,0,,0,0,1.2,2.436,1.3,7.11E-05,1.7,1.5,0.2,,0.2,0.2,0,2.98E-05,0,0.1,2.7,0.7,,,,1.1,9,8,9,6,7.7,4.9,6.047383576,0.5,2.7,5.2,1,4,3,2.7,3.1,2.4,3.2
Senegal,SEN,6.1,8.5,5.4,2.6,6.3,4.5,3.2,3.5,4.75,4,5.3,2.3,6.1,0,2.1,3.9,5.5,5.5,6.3,6.3,5.9,5.25,5.6,5.1,High,51,7.7,15.862,5.4,3.2,7.9,5.5,6.4,7.5,4.7,3.3,10,6.4,6.1,6.1,5.5,5.5,5.5,5.5,9.8,9.7,9.75,1,4.9,1.2,2.366666667,9.7,3.5,6.3,6.3,5.5,5,5.25,5.25,6.3,7.7,9.1,7,3.8,5.4,1374.97195,84.37293857,1.7,2.8,3.4,2.6,6.3,34.069,5.1,0.002090589,3.8,4.5,0.8,0.5,0.65,2.2,1.6,0.736703812,8.2,3.2,4.8,2.1,2.5,7,4.75,4,0.8,5.3,0.8,2,2.7,2.6,11.9461902,1.1,1.9,2.3,8,4.9,4.3,5.7,6.5,0,2.1
Serbia,SRB,2.3,1.3,1.6,1.8,1.5,4.7,0.2,2.8,0.4,2.2,1.9,5.4,6.1,8.8,7.3,5.2,5.5,5.5,2.4,2.4,4.1,4.05,4.1,3.7,Medium,119,2,4.81,0.3,2.4,0.2,1,6.3,0,5.6,0.4,2.2,2.9,2.3,2.3,6.1,4.8,5.5,5.5,2.2,3,2.6,0.7,1.4,,1.05,5.7,0.1,2.4,2.4,3.1,5,4.05,4.05,2.4,2,0.6,2.2,0.9,1.6,499.99973,56.99803174,1.1,1.5,2.8,1.8,1.5,31.199,5,0.003556565,4.4,4.7,0.2,0.1,0.15,0.3,,0,0,0.2,5.3,0.2,,0.4,0.4,2.2,5.9,5.4,5.9,0,3.8,6.5,75.46306883,7.5,7,5.4,0.4,5.3,8.8,4.8,7.3,8.8,7.3
Seychelles,SYC,3.8,2,5.5,1.1,2.7,0,0.2,3.7,,1.5,2.1,6.6,4.1,5.2,5.3,3.9,3.7,3.7,3.4,3.4,3.6,5.1,4.4,4,Medium,98,2,8.211,0,0.6,,0.3,7.7,3.4,5.7,,,5.6,3.8,3.8,3.4,4,3.7,3.7,7.6,5.6,6.6,0.3,0,,0.15,6.4,0.6,3.4,3.4,5.2,5,5.1,5.1,3.4,2,,,5.5,5.5,9.7,99.24187393,2,0.8,0.5,1.1,2.7,0,0,0,0,0,,,,0.3,,0,0,0.2,6.8,0.5,,,,1.5,4.1,3.9,4.1,4,4,10,82.60869565,8.2,9.1,6.6,0.9,0.8,1.6,1.1,7,5.2,5.3
Sierra Leone,SLE,7.1,9.2,5.5,3.7,6.9,0.9,7,6.1,7.05,5.7,6.3,4,6.2,0.4,2.8,4.8,7,7,8.1,8.1,7.6,5.6,6.7,6.1,High,15,9.2,14.684,9.4,6.5,8.1,8,6.8,6.3,4.2,6.6,9.7,6.7,7.1,7.1,6.7,7.3,7,7,9.9,9.6,9.75,1.5,7.5,1.5,3.5,9.3,10,8.1,8.1,6.2,5,5.6,5.6,8.1,9.2,9.2,8.6,2.3,5.5,625.54531,80.06255434,1.6,8.9,0.5,3.7,6.9,0.592,0,7.58E-05,1.7,0.9,3.4,2.4,2.9,5.5,9.5,0.896028737,10,7,5.3,6.9,6.3,7.8,7.05,5.7,,,,4,4,5.9,20.94387043,2,4,4,8.9,5.7,1.8,5.5,6.9,0.4,2.8
Singapore,SGP,4,0,0.9,0,0.2,0,0.4,1.7,5.1,2.1,1.2,8,1.4,6.8,5.8,3.9,1,1,1.8,1.8,1.4,0.45,0.9,2.4,Low,178,0,4.306,0,0,,0,10,0.9,10,,3.2,6,4,4,1.5,0.5,1,1,4.2,7.1,5.65,0.5,1.5,2.7,1.566666667,0,0.1,1.8,1.8,0.9,0,0.45,0.45,1.8,0,,0.9,,0.9,-0.5,-0.086142394,0,,,0,0.2,0,0,0,0,0,0.3,0.4,0.35,0.9,,0.000464308,0,0.4,3.3,0,,5.1,5.1,2.1,9,7.9,9,8,8.3,5.2,800,10,7.6,8,0.6,2.6,2.1,1.8,1,6.8,5.8
Slovakia,SVK,2.5,0.9,1.5,0.4,0.9,1.1,0.1,2.3,1.05,1.2,1.1,6.3,7.2,8,7.4,5,4.3,4.3,1.7,1.7,3.1,2.8,3,3.3,Low,146,0.9,5.202,0.2,0,,0.1,6.8,0.2,5.4,,2.2,3.7,2.5,2.5,5,3.6,4.3,4.3,3.8,2.8,3.3,0.5,0.3,0.5,0.433333333,2.8,0.1,1.7,1.7,3.1,2.5,2.8,2.8,1.7,0.9,,2.5,0.4,1.5,0,0,0,,0.7,0.4,0.9,0.966,0,0.00017702,2.1,1.1,0.2,0.1,0.15,0.1,,1.65E-06,0,0.1,4.5,0,1.6,0.5,1.05,1.2,,5.8,,8,6.9,1.2,174.6797538,10,5.6,6.3,,3.4,8.9,6.2,8.1,8,7.4
Slovenia,SVN,2,0,0.5,0.2,0.2,1.4,0.1,1.6,1.05,1.1,0.7,6.5,6.1,9.2,7.8,5.2,3.4,3.4,1.8,1.8,2.6,0.9,1.8,2.7,Low,173,0,4.949,0.1,0.1,,0.1,6.7,1.1,5.5,0.4,1.2,3,2,2,4,2.7,3.4,3.4,2.5,4.4,3.45,0.8,0.8,7.5,3.033333333,0.8,0.1,1.8,1.8,1.8,0,0.9,0.9,1.8,0,,0.9,0.1,0.5,0,0,0,,0.4,0.2,0.2,1.012,0,0.000486854,2.7,1.4,0.2,0.2,0.2,0.1,,5.77E-06,0,0.1,3.2,0,0.2,1.9,1.05,1.1,5.1,6.4,5.1,6,5.8,4.3,178.7487587,10,7.2,6.5,0.1,4.2,9.8,4.7,7.5,9.2,7.8
Solomon Islands,SLB,5.7,6.9,3,6.7,5.9,0,4.8,2.8,9.3,5.4,5.7,2.4,5.2,2.8,3.3,4.6,6.5,6.5,5.5,5.5,6,7.05,6.6,5.6,High,37,6.9,15.22,7.4,5.4,6.4,6.4,4.6,9.2,2.4,,,5.4,5.7,5.7,5.8,7.1,6.5,6.5,9.5,8.4,8.95,0.8,,3.1,1.95,9.8,1.2,5.5,5.5,6.6,7.5,7.05,7.05,5.5,6.9,,,3,3,332.53832,496.4584867,9.9,9.7,0.5,6.7,5.9,0.004,0,5.97E-06,0,0,,,,1.4,4.3,0.791289016,8.8,4.8,4.3,1.3,9.3,,9.3,5.4,4.1,1,4.1,2,2.4,4.3,3.572704537,0.3,2.3,2.4,4.5,6.5,4.6,5.2,,2.8,3.3
