COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,Rank,Missing Indicators
Georgia,GEO,7.8,5.7,0,0,5.4,4.5,4,0,2.8,3.7,1.6,4.5,3.7,2.9,8.4,0.8,0.6,0.2,2.7,1.1,5.9,4.6,4.7,4.4,4.6,2.3,1.1,2.6,2,3.4,3.9,83,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,2.7,6.1,0,0,0.5,2.2,0.1,0,0.1,1.2,0.5,0.9,0,0.5,6.4,0.1,0.3,0,0.8,0.3,4,2.4,2.7,1.7,2.2,1.8,0,0.2,0.7,1.5,1.6,170,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,0.1,5.2,4.2,0,1.1,2.4,3.7,0,2.6,2.5,4.1,5.9,1.7,4,3.5,3.9,3.6,0,1.9,2.5,3,3.5,3.4,5.4,4.4,5.4,6.7,6.2,6.1,5.3,3.6,95,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,5.9,3.2,8.3,0,2.9,4.7,4.1,0,2.9,3.9,1.3,2.5,0.8,1.5,4.5,0.1,0.4,0.2,1.5,0.6,2.8,2.2,2.3,4.8,3.6,2.2,0,0.9,1,2.4,2.7,126,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,0.4,0.1,0,1.5,0.5,0.5,0.1,0,0.1,0.3,3.1,x,3.1,3.1,0,0,0.9,0,2.6,0.9,0.5,1.9,4.7,5.2,5,3.7,0.3,3.1,2.4,3.8,1.3,179,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,9.7,5.5,7.5,4.6,3.6,6.9,6.9,0,4.8,6,5,7,0.7,4.4,7.2,0.7,2.6,2.3,4.7,2.7,5.4,4.9,5.5,6.8,6.2,4.8,4.5,6.4,5.2,5.7,5.5,31,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,0.1,5.6,3.8,0,0.8,2.4,6,0,4.2,3.4,8.3,2.2,3.9,5.7,3.1,5.1,5.4,0.1,5.6,4.4,3.8,4.8,5,7.5,6.3,8.5,7.4,9.3,8.4,7.5,5,45,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,0.1,3.8,4.3,0,2.7,2.4,3.1,0,2.2,2.3,9.2,6.4,4.1,7.2,3.9,7.4,5.5,0,5.3,5.1,4.5,6,7.8,8.2,8,7,7.3,8.4,7.6,7.8,4.8,54,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,0.1,4.9,3.9,0,5,3.1,0.6,0,0.4,1.8,2.7,6.9,4.5,4.2,0,2.5,2.5,10,3.1,6,3.6,3.9,x,6.3,6.3,4.5,4,5.2,4.6,5.5,3.4,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,5.7,4.4,6.1,7.1,4,5.6,7.4,0,5.2,5.4,5.9,8.5,6,6.6,5.5,2.6,4,10,8.8,7.6,6.7,6.7,6.7,8.7,7.7,7.6,6.1,8.3,7.3,7.5,6.5,14,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,6.6,5.5,7,4.3,5.1,5.8,5.6,0,3.9,4.9,3.5,6.8,2.2,4,7.2,0.5,1.6,3,3.3,2.2,5.2,4.6,5.2,6.8,6,4.5,4.1,4.3,4.3,5.2,4.9,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,3.8,7.5,0,0,4,3.6,2.5,0,1.8,2.7,1.9,2.1,0,1.5,2.4,0.2,0.5,0,2.5,0.9,1.7,1.6,1.4,4.4,2.9,1.7,0.1,1.6,1.1,2,2.1,145,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,5.1,0.1,0,0,0,1.3,0,0,0,0.7,0.8,0.9,0,0.6,1.4,0.1,0.2,0,1.3,0.4,0.9,0.8,x,2.1,2.1,1.6,2.6,0.9,1.7,1.9,1,186,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,7.9,8.5,8.3,7.6,6.9,7.9,9.5,0,6.7,7.3,5.3,4.9,0.1,3.9,6.3,1.3,6.7,10,4.4,6.9,6.6,5.4,1.8,5.8,3.8,5.6,5.2,5.9,5.6,4.8,5.7,26,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,8.4,8.2,9.6,6.4,3.6,7.8,9.4,0,6.6,7.2,2.3,4.6,0,2.3,1.8,3,3.3,0.2,3.7,2.7,2.3,2.3,3.3,5.7,4.5,3.5,5.3,6.4,5.1,4.8,4.3,66,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,IRN,10,6.6,6,2,7.1,7.2,7.5,0,5.3,6.3,2.8,5,0.1,2.7,8,0.2,1.1,0.2,2,0.9,5.5,4.2,4.4,6.6,5.5,3.8,3.7,3.7,3.7,4.7,5,45,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,7,9.6,0,0,3.9,5.5,10,9,9,7.7,2.6,4.2,1.9,2.8,10,0.8,2.2,0.1,5.1,2.3,8,6,8.4,7.9,8.2,4.6,4.4,6.8,5.3,7,6.9,10,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,0.1,3.9,4.5,0,0.5,2,0,0,0,1,0.5,1.7,0,0.7,3,0.4,0.3,0,0.4,0.3,1.7,1.2,x,2.2,2.2,2.3,0.5,1.2,1.3,1.8,1.3,179,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,6.6,2.4,5.2,0,5.3,4.3,6.4,0,4.5,4.4,0.9,2.9,0,1.2,5,0.1,0.3,0,0.5,0.2,2.9,2.1,x,3.3,3.3,2.3,0,1,1.1,2.3,2.8,120,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,6.1,5.6,7.6,0,2.9,5,1.9,0,1.3,3.4,1.2,1.7,0,1,5.4,0.4,0.3,0,0.9,0.4,3.3,2.2,2.4,4.9,3.7,1.6,0,1,0.9,2.4,2.6,131,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,3.7,3,0,7.2,2.6,3.7,1.5,0,1.1,2.5,2,5.4,0.6,2.5,0,1.7,0.9,0.8,3.2,1.7,0.9,1.7,3.3,5.3,4.3,3.6,1.9,5.1,3.5,3.9,2.5,135,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,JPN,9.4,3.9,10,10,0.5,8.3,0.9,0,0.6,5.7,0.9,1.8,0,0.9,0.7,0.3,0.5,0.1,2.2,0.8,0.8,0.9,1.9,2,2,1.7,0,1.2,1,1.5,2,153,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,6.6,2.8,0,0,6.8,3.9,2.1,0,1.5,2.8,1.7,4.3,7.6,3.8,10,0.1,1.1,0,1.8,0.8,7.7,6.1,6.1,4.7,5.4,2.2,2.5,3,2.6,4.1,4.1,74,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,7.5,5.8,0,0,5,4.3,2.2,0,1.5,3,1.3,2,0.1,1.2,0,1.1,1,0,0.9,0.8,0.4,0.8,3.8,6.1,5,1.6,3.7,1.9,2.4,3.8,2.1,145,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KEN,4.2,5.7,5.6,0,7.1,4.9,9.8,7,7,6.1,5.2,6.7,2.6,4.9,8.2,6.2,3.1,1.2,5.6,4.3,6.7,5.9,3.9,6.6,5.3,6.3,8.1,7.5,7.3,6.4,6.1,19,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,0.1,0.1,7.3,0,4.1,3,0.1,0,0.1,1.7,5.5,3.2,10,6.1,0,9,3.8,0.7,0.8,4.7,2.7,4.6,x,6.2,6.2,7.4,4.7,5.4,5.8,6,3.6,95,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea DPR,PRK,0.9,7.7,3.2,6.6,2.9,4.8,7.5,0,5.3,5.1,7.4,x,0.1,5,0,4,2.7,10,9.2,7.8,5,5,x,8.8,8.8,6.7,3.1,0.5,3.4,6.9,5.6,30,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea Republic of,KOR,0.1,4.7,7.5,8.5,0.3,5.2,2.6,0,1.8,3.7,0.8,1.7,0,0.8,0.3,0.8,0.2,0,0.9,0.5,0.4,0.6,1.5,3.5,2.5,2,0.2,1.6,1.3,1.9,1.6,170,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,5.6,1.2,0,0,3.2,2.3,0.6,0,0.4,1.4,2.1,5.2,0,2.4,1.1,0.4,0.7,0,1.3,0.6,0.9,1.7,x,5.2,5.2,0.8,1.7,1.7,1.4,3.5,2,153,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,9.7,5.6,0,0,7.2,5.9,4.5,0,3.2,4.7,2.5,2.7,4.1,3,0.8,1.1,1.1,0.1,2,1.1,1,2.1,3.7,7,5.4,2.7,3.6,4,3.4,4.5,3.5,98,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,3.7,9.2,0,3.3,2.6,4.7,4.1,0,2.9,3.9,4.5,5.2,2.5,4.2,0,1.6,5.5,0.4,5.9,3.7,2,3.2,6.1,6.7,6.4,6.1,5.7,6.2,6,6.2,4.3,66,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,0.1,6.7,0,0,2.1,2.3,0.3,0,0.2,1.3,2,2.4,0,1.6,0.9,0.9,0.6,0,1.5,0.8,0.9,1.3,x,3.8,3.8,1.6,0.8,2.3,1.6,2.8,1.7,164,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,6.5,1.1,6,0,2.6,3.7,7.4,7,7,5.6,2.8,5.1,5.6,4.1,10,0.3,0.8,8.6,1,3.8,8.3,6.7,4.7,6.5,5.6,2.6,0.8,3.5,2.3,4.1,5.4,32,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,0.1,3.7,0,0,4.6,1.9,3.4,0,2.4,2.2,5.7,7.3,3.2,5.5,0,10,4.6,8.5,3.4,7.6,4.9,5.2,8.4,5.8,7.1,6.6,6.5,5.5,6.2,6.7,4.2,69,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,LBR,0.1,6.4,5,0,1.1,3,3.2,0,2.2,2.6,7.4,5.8,10,7.7,4.5,4.6,4.4,0.1,7.3,4.6,4.6,6.4,x,7,7,8.5,7.8,9.5,8.6,7.9,5.1,43,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,5.3,2.6,7.5,0,5,4.6,9.5,10,10,8.4,1.9,1.8,0.8,1.6,8.6,0.7,1.1,0,1.3,0.8,6,4.1,x,8.4,8.4,3.1,5.1,3.6,3.9,6.7,6.1,19,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,5.2,0.1,0,0,0,1.3,0.7,0,0.5,0.9,0.7,x,0,0.5,2.3,x,x,0,1,0.5,1.4,1,x,1.6,1.6,1.8,0,x,0.9,1.3,1.1,184,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,0.1,4.7,0,0,3.2,1.8,0,0,0,0.9,1.7,2.1,0,1.4,1.3,1.1,0.4,0,1.2,0.7,1,1.2,x,3.5,3.5,1.4,0.5,1.5,1.1,2.4,1.4,175,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,0.1,1.9,0,0,0,0.4,0,0,0,0.2,0.9,1.9,0,0.9,2.2,0.1,0.1,0,1,0.3,1.3,1.1,x,1.8,1.8,1,0.1,0.7,0.6,1.2,0.6,189,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,0.1,7.7,7.2,7.4,4,5.9,2,0,1.4,4,7.6,3.9,2.1,5.3,0,2.8,6,0.4,7.4,4.7,2.7,4.1,4.7,7.4,6.1,8.2,9.6,8.1,8.6,7.6,5,45,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,MWI,4,5.4,0,0.7,6.2,3.7,2.2,0,1.5,2.7,7.1,6.7,6.1,6.8,3,6.5,4.3,10,6.1,7.5,5.7,6.3,4,6.7,5.4,8.5,5.6,7.6,7.2,6.4,4.8,54,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,4.1,6.5,6.2,2.8,3.4,4.8,5.1,0,3.6,4.2,2.6,4.1,0,2.3,5.4,1,1.7,2,1.6,1.6,3.7,3,2.6,3.9,3.3,1.9,2.9,3.8,2.9,3.1,3.4,100,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,MDV,0.1,0.1,8.9,0,0,3.1,0.2,0,0.1,1.7,2,3.1,1.3,2.1,0,0.5,2.4,0,2.1,1.3,0.7,1.4,5.8,5.7,5.8,1.5,0.2,2.7,1.5,4,2.1,145,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,MLI,0.1,7,0,0,5.8,3.3,10,7,7,5.4,8.6,5.5,4.6,6.8,6.2,3.9,7.5,0,2.9,4.1,5.2,6.1,4.9,6.9,5.9,7.3,7.4,7.8,7.5,6.8,6.1,19,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,MLT,0.1,0.1,7.1,0,0,2.1,0,0,0,1.1,1.7,3,0,1.6,4.6,0.2,0.5,0,1.4,0.5,2.8,2.2,x,3.7,3.7,2,0,0.4,0.8,2.4,1.8,161,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,MHL,0.1,0.1,6.4,0.3,1.7,2.1,1.5,0,1.1,1.6,6,x,10,7.3,0,6.1,2.9,0.2,4,3.6,2,5.2,7.3,8.1,7.7,7.1,1.2,7.3,5.2,6.6,3.8,88,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,0.1,7.6,3.9,0,8.6,5.1,7.4,0,5.2,5.2,6.1,5.6,3,5.2,6.3,3,5.4,0,3.6,3.2,4.9,5.1,4.8,7,5.9,7.7,8.4,7.5,7.9,7,5.7,26,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,MUS,0.1,0.1,5.9,6.8,1.3,3.4,0.1,0,0.1,1.9,2.7,4.2,1.9,2.9,0,1.1,1,0,2.5,1.2,0.6,1.8,3.3,3.7,3.5,2.9,0.3,2.7,2,2.8,2.1,145,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,8.5,7.4,6.2,7.7,3.9,7,9.9,9,9,8.2,1.6,5.4,0.1,2.2,6.1,0.3,0.8,0,1.9,0.8,3.9,3.1,5.1,5.6,5.4,3.3,3.5,3,3.3,4.4,4.8,54,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,FSM,0.7,0.1,6.7,3.2,2.5,3,0.1,0,0.1,1.7,4.8,x,10,6.5,0,3.5,3,10,4,6.4,3.9,5.3,6,6,6,6.6,3.9,5.4,5.3,5.7,3.7,91,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova Republic of,MDA,5.1,5.9,0,0,6.1,3.9,0.5,0,0.4,2.3,2.2,2.1,3.6,2.5,1,2,0.9,0,2.8,1.5,1.3,1.9,6.2,6.3,6.3,2.6,1.6,3.4,2.5,4.7,2.7,126,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,4.1,4.9,0,0,6.7,3.6,5.2,0,3.6,3.6,1.9,3.3,3.2,2.6,0,1.7,1.1,10,5.2,6.1,3.6,3.1,5.1,6,5.6,3.4,7.1,3,4.5,5.1,3.8,88,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,MNE,4.2,4.9,6.9,0,2.1,4,0.3,0,0.2,2.3,1.2,2.2,3.1,1.9,2.5,0.4,0.3,0,2.3,0.8,1.7,1.8,4,5.1,4.6,1.5,0.8,3.7,2,3.4,2.4,139,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,3.3,6.1,6.7,0,6.4,4.9,5.8,0,4.1,4.5,3,5.5,1.6,3.3,2,1.1,1.4,2.3,1.8,1.7,1.9,2.6,5.6,5.9,5.8,3.5,4.2,4.6,4.1,5,3.9,83,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,2.8,6.8,5.9,5.3,7.7,5.9,6.5,0,4.6,5.3,7.9,6.5,5.6,7,2.3,8.6,4.8,4.7,6.5,6.5,4.7,6,2.1,6.7,4.4,8.1,9.4,7.2,8.2,6.7,6,22,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,MMR,9.3,10,8.5,5.7,1.1,8,9.8,7,7,7.5,6.4,5.5,1.8,5,7.7,3,4.4,8.6,5.2,5.8,6.9,6,7.1,7.7,7.4,6,5.2,5.9,5.7,6.6,6.7,12,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,NAM,0.1,5.8,0,0,8.7,4.1,0.5,0,0.4,2.4,4.2,7.2,2.4,4.5,1.9,6.7,3.2,0.2,7,4.8,3.5,4,4.3,4.8,4.6,5.7,6.2,5.8,5.9,5.3,3.7,91,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,NRU,0.1,0.1,5.4,0,0,1.4,0.3,0,0.2,0.8,3.4,x,10,5.6,4.2,1.3,1.9,0,4,1.9,3.1,4.5,8.1,6.2,7.2,5.7,1.5,5.6,4.3,5.9,2.8,120,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,NPL,9.9,6.5,0,0.2,2.9,5.5,7.1,0,5,5.3,4.9,4.2,2.2,4.1,5.3,1.1,4.7,10,4.4,6.4,5.9,5.1,5.4,7,6.2,6,5.4,5.1,5.5,5.9,5.4,32,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,1.7,5.8,0,0,0.5,1.9,0,0,0,1,0.4,0.8,0,0.4,5.7,0.1,0.3,0,1.5,0.5,3.5,2.1,1.7,1.3,1.5,1.7,0.1,1,0.9,1.2,1.4,175,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,8.2,3.7,6.7,2.8,2.1,5.2,0,0,0,3,0.6,2.1,0,0.8,1.4,0.1,0.4,0,1.3,0.5,1,0.9,2.6,1.2,1.9,2,3,1.2,2.1,2,1.8,161,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,8.9,5.5,8.3,3.7,4,6.6,4.4,0,3.1,5.1,3.1,5.6,2.4,3.6,0.8,0.6,1.5,2.2,4,2.2,1.5,2.6,4.7,7,5.9,4.9,4.9,4.6,4.8,5.4,4.2,69,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,0.1,7.1,0,0,8.3,4.2,8.1,9,9,7.3,9.7,5.6,4.7,7.4,7,4.3,7.9,6.9,3.8,6,6.5,7,5.3,6.6,6,9.1,9.3,8.3,8.9,7.7,7.3,7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,0.1,8.3,0,0,0.5,2.8,10,9,9,6.9,6,4.5,0.4,4.2,7.9,7.1,6.4,0,3.1,4.7,6.6,5.5,2.8,7.4,5.1,6.1,7.7,9.4,7.7,6.6,6.3,16,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,NOR,0.9,0.1,0,0,0,0.2,0,0,0,0.1,0.1,0.6,0,0.2,5.7,0.3,0.2,0,1.1,0.4,3.5,2,2.3,1.4,1.9,1.6,1.9,0.4,1.3,1.6,0.7,188,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
